sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; selectionMethodForSimulationMCTS; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; maxStepsForSimulationMCTS; simulationDepthChargeMCTS; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;
;;;;;;;;;;;;;;;;;;;6;122;42;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;2.3255813953488373;46.51163_0.0_16.27907_2.32558_32.55814_0.0_0.0_2.32558;0;
;;;;;;;;;;;;;;;;;;;6;123;42;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;2.3255813953488373;39.53488_0.0_27.90698_0.0_20.93023_6.97674_2.32558_2.32558;0;
;;;;;;;;;;;;;;;;;;;6;124;41;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;4.761904761904762;38.09524_2.38095_21.42857_0.0_30.95238_0.0_2.38095_4.7619;0;
;;;;;;;;;;;;;;;;;;;6;125;41;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;47.61905_2.38095_14.28571_2.38095_30.95238_2.38095_0.0_0.0;0;
;;;;;;;;;;;;;;;;;;;6;126;37;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;47.36842_2.63158_15.78947_0.0_34.21053_0.0_0.0_0.0;0;
;;;;;;;;;;;;;;;;;;;6;127;38;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;2.5641025641025643;41.02564_5.12821_15.38462_2.5641_30.76923_0.0_2.5641_2.5641;0;
;;;;;;;;;;;;;;;;;;;6;128;40;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;2.4390243902439024;46.34146_0.0_17.07317_4.87805_26.82927_2.43902_0.0_2.43902;0;
;;;;;;;;;;;;;;;;;;;6;129;47;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;2.0833333333333335;41.66667_0.0_20.83333_2.08333_27.08333_2.08333_4.16667_2.08333;0;
;;;;;;;;;;;;;;;;;;;6;130;54;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;1.8181818181818181;41.81818_0.0_20.0_1.81818_27.27273_3.63636_3.63636_1.81818;0;
;;;;;;;;;;;;;;;;;;;6;131;38;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;46.15385_2.5641_17.94872_0.0_30.76923_2.5641_0.0_0.0;0;
;;;;;;;;;;;;;;;;;;;6;132;41;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;45.2381_2.38095_16.66667_0.0_33.33333_0.0_2.38095_0.0;0;
